step,loss,lr,tok_s,vram_mb,CrossEntropy,RouterAuxLoss,RouterZLoss,Total
161,7.2797675132751465,0.000243,6696,1920.494592,7.061074733734131,0.2160024344921112,0.002690208377316594,7.2797675132751465
162,7.244422435760498,0.0002445,6700,1922.259456,7.018903732299805,0.22282618284225464,0.0026928966399282217,7.244422435760498
163,7.234169006347656,0.00024599999999999996,6704,1922.80064,7.0126953125,0.21878306567668915,0.002690681489184499,7.234169006347656
164,6.798570156097412,0.00024749999999999994,6706,1923.603456,6.568486213684082,0.22739118337631226,0.002692657755687833,6.798570156097412
165,7.260148048400879,0.000249,6710,1922.852352,7.042473793029785,0.2149839997291565,0.0026903063990175724,7.260148048400879
166,6.988183975219727,0.00025049999999999996,6713,1924.340736,6.75398063659668,0.23151004314422607,0.0026929464656859636,6.988183975219727
167,6.850847244262695,0.00025199999999999995,6716,1921.639424,6.627424240112305,0.2207319587469101,0.0026910449378192425,6.850847244262695
168,7.365394592285156,0.0002535,6720,1920.328704,7.125648498535156,0.23705574870109558,0.002690223278477788,7.365394592285156
169,7.009862899780273,0.00025499999999999996,6724,1921.291264,6.777220726013184,0.22995227575302124,0.0026896160561591387,7.009862899780273
170,7.306582450866699,0.00025649999999999995,6727,1921.995776,7.0799360275268555,0.22395987808704376,0.002686677733436227,7.306582450866699
171,7.131711483001709,0.000258,6730,1920.574976,6.915266036987305,0.2137560248374939,0.0026895541232079268,7.131711483001709
172,6.966331481933594,0.00025949999999999997,6733,1923.67104,6.7427520751953125,0.22089116275310516,0.0026882649399340153,6.966331481933594
173,7.0890583992004395,0.000261,6736,1919.987712,6.873692035675049,0.21267791092395782,0.0026885741390287876,7.0890583992004395
174,7.303247928619385,0.0002625,6739,1919.06816,7.086669921875,0.21389037370681763,0.0026874798350036144,7.303247928619385
175,7.542385578155518,0.00026399999999999997,6742,1921.801216,7.324450969696045,0.21524398028850555,0.0026910000015050173,7.542385578155518
176,7.4811177253723145,0.0002655,6744,1922.779136,7.253399848937988,0.22503091394901276,0.002687147120013833,7.4811177253723145
177,7.145506381988525,0.000267,6747,1921.93536,6.926885604858398,0.21593043208122253,0.002690280554816127,7.145506381988525
178,6.955613613128662,0.00026849999999999997,6749,1920.707072,6.725287437438965,0.22763480246067047,0.0026911948807537556,6.955613613128662
179,6.8697896003723145,0.00027,6751,1922.148352,6.650343894958496,0.21675589680671692,0.00268995831720531,6.8697896003723145
180,7.114694595336914,0.0002715,6754,1922.562048,6.896630764007568,0.21537476778030396,0.002688777633011341,7.114694595336914
181,6.893522262573242,0.00027299999999999997,6757,1923.161088,6.675284385681152,0.21554797887802124,0.0026897210627794266,6.893522262573242
182,7.177552700042725,0.0002745,6759,1923.421184,6.9623308181762695,0.2125328928232193,0.0026891047600656748,7.177552700042725
183,7.0255584716796875,0.000276,6762,1922.87744,6.804556846618652,0.2183115929365158,0.0026899471413344145,7.0255584716796875
184,6.756131649017334,0.00027749999999999997,6764,1920.622592,6.539615631103516,0.21382707357406616,0.002688725246116519,6.756131649017334
185,7.331367015838623,0.000279,6766,1921.400832,7.102205276489258,0.22647042572498322,0.002691335743293166,7.331367015838623
186,6.71111536026001,0.0002805,6769,1923.716096,6.497132778167725,0.21129396557807922,0.0026885378174483776,6.71111536026001
187,6.9784111976623535,0.00028199999999999997,6772,1920.04096,6.742770195007324,0.23294618725776672,0.0026944312267005444,6.9784111976623535
188,6.863874435424805,0.00028349999999999995,6775,1920.275456,6.650776386260986,0.21040694415569305,0.002691212110221386,6.863874435424805
189,7.050893306732178,0.000285,6779,1922.241536,6.828700542449951,0.21950240433216095,0.002690107561647892,7.050893306732178
190,6.707071304321289,0.00028649999999999997,6782,1922.596352,6.48067045211792,0.22371165454387665,0.0026892938185483217,6.707071304321289
191,6.90476131439209,0.00028799999999999995,6785,1920.83456,6.69613790512085,0.2059326171875,0.002690748078748584,6.90476131439209
192,6.978140830993652,0.0002895,6788,1919.675392,6.768406391143799,0.20704343914985657,0.002690654480829835,6.978140830993652
193,6.798061847686768,0.00029099999999999997,6790,1919.921152,6.585179328918457,0.21019166707992554,0.0026906549464911222,6.798061847686768
194,6.820831298828125,0.00029249999999999995,6792,1918.526464,6.608523368835449,0.20961697399616241,0.0026906870771199465,6.820831298828125
195,7.122349739074707,0.000294,6795,1920.827392,6.9074015617370605,0.21225421130657196,0.0026940759271383286,7.122349739074707
196,6.937106609344482,0.00029549999999999997,6797,1918.154752,6.71771240234375,0.21670274436473846,0.00269146217033267,6.937106609344482
197,6.885712623596191,0.00029699999999999996,6799,1919.319552,6.673443794250488,0.20957697927951813,0.0026915231719613075,6.885712623596191
198,6.823376178741455,0.0002985,6801,1919.7184,6.59976863861084,0.2209147959947586,0.0026925939600914717,6.823376178741455
199,7.2665696144104,0.0003,6804,1916.986368,7.046384811401367,0.21749192476272583,0.002692620735615492,7.2665696144104
200,6.601752281188965,0.0002999333856493737,6807,1919.717888,6.383862495422363,0.21519920229911804,0.0026906051207333803,6.601752281188965
201,6.880509853363037,0.00029973360833781664,6809,1918.852096,6.665970802307129,0.211849182844162,0.0026899557560682297,6.880509853363037
202,6.739862442016602,0.0002994008652214158,6811,1918.08,6.523462295532227,0.21371036767959595,0.00268965563736856,6.739862442016602
203,7.052025318145752,0.0002989354846774545,6814,1919.043584,6.835156440734863,0.21417897939682007,0.0026897296775132418,7.052025318145752
204,6.493987083435059,0.0002983379259803436,6817,1919.884288,6.280655384063721,0.21064230799674988,0.0026895387563854456,6.493987083435059
205,7.0068278312683105,0.00029760877884837294,6819,1920.064512,6.795362949371338,0.20877811312675476,0.0026871669106185436,7.0068278312683105
206,6.989125728607178,0.00029674876286173087,6821,1918.358528,6.776074409484863,0.21036359667778015,0.002687821164727211,6.989125728607178
207,7.307944297790527,0.0002957587267523652,6823,1920.982016,7.097643852233887,0.20761187374591827,0.0026885566767305136,7.307944297790527
208,6.344496250152588,0.00029463964756638725,6826,1921.52064,6.128498077392578,0.21330925822257996,0.002688921522349119,6.344496250152588
209,6.917850017547607,0.0002933926296998457,6828,1920.335872,6.695472717285156,0.2196875959634781,0.0026897622738033533,6.917850017547607
210,6.673727512359619,0.00029201890380882044,6831,1922.57536,6.455955505371094,0.21508139371871948,0.002690640976652503,6.673727512359619
211,6.775323390960693,0.00029051982559491393,6832,1921.620992,6.561679840087891,0.21095582842826843,0.002688091015443206,6.775323390960693
212,6.755490779876709,0.00028889687446733743,6834,1919.190016,6.541531562805176,0.21127021312713623,0.0026889180298894644,6.755490779876709
213,6.892959117889404,0.00028715165208291265,6836,1919.58016,6.681150436401367,0.20912037789821625,0.0026882400270551443,6.892959117889404
214,7.057613372802734,0.00028528588076542964,6838,1918.18752,6.834909439086914,0.22001565992832184,0.002688187872990966,7.057613372802734
215,6.833575248718262,0.00028330140180592156,6840,1920.310272,6.605908393859863,0.22497771680355072,0.0026893788017332554,6.833575248718262
